context1;context2;context3;context4;context5;context6;context7;response
I can’t put it to-gether again . . .;Thirty-seven years!;What of it . . .;Hey, ho!”;hebrightened, then lapsed into silence, retreated into himself,stretched out his hand, reached for the bread and slowly rolled alittle pellet, watched it, fell silent, hummed ti-ri-ri.;He sliced a piece of bread, cut oﬀthe edge to make it square,buttered it, spread the butter evenly, patted it with his knife, saltedit, and pushed it into his mouth—he ate it.;And he seemed tomake sure he ate it.;Thirty-seven years!
Thirty-seven years!;What of it . . .;Hey, ho!”;hebrightened, then lapsed into silence, retreated into himself,stretched out his hand, reached for the bread and slowly rolled alittle pellet, watched it, fell silent, hummed ti-ri-ri.;He sliced a piece of bread, cut oﬀthe edge to make it square,buttered it, spread the butter evenly, patted it with his knife, saltedit, and pushed it into his mouth—he ate it.;And he seemed tomake sure he ate it.;I looked at the arrow that had spread, spilledonto the ceiling, what kind of an arrow was that, how could wehave perceived it as an arrow?!;What of it . . .
What of it . . .;Hey, ho!”;hebrightened, then lapsed into silence, retreated into himself,stretched out his hand, reached for the bread and slowly rolled alittle pellet, watched it, fell silent, hummed ti-ri-ri.;He sliced a piece of bread, cut oﬀthe edge to make it square,buttered it, spread the butter evenly, patted it with his knife, saltedit, and pushed it into his mouth—he ate it.;And he seemed tomake sure he ate it.;I looked at the arrow that had spread, spilledonto the ceiling, what kind of an arrow was that, how could wehave perceived it as an arrow?!;I also looked at the table, at thetablecloth, one must admit there is a limit to what can be seen—so then, on the tablecloth, Lena’s hand resting, relaxed, small,coﬀee-colored, warmly-cool, growing by way of the wrist from themore distant whiteness of her shoulder (which I merely guessed atbecause;Hey, ho!”
Hey, ho!”;hebrightened, then lapsed into silence, retreated into himself,stretched out his hand, reached for the bread and slowly rolled alittle pellet, watched it, fell silent, hummed ti-ri-ri.;He sliced a piece of bread, cut oﬀthe edge to make it square,buttered it, spread the butter evenly, patted it with his knife, saltedit, and pushed it into his mouth—he ate it.;And he seemed tomake sure he ate it.;I looked at the arrow that had spread, spilledonto the ceiling, what kind of an arrow was that, how could wehave perceived it as an arrow?!;I also looked at the table, at thetablecloth, one must admit there is a limit to what can be seen—so then, on the tablecloth, Lena’s hand resting, relaxed, small,coﬀee-colored, warmly-cool, growing by way of the wrist from themore distant whiteness of her shoulder (which I merely guessed atbecause;I didn’t venture that far with my gaze), and so, the handwas quiet and idle, but looking more closely one noticed a trem-bling, it was, for example, the trembling of the skin at the base ofthe ring ﬁnger, or the touching of two ﬁngers, the middle and thering ﬁnger—more like embryos of movement, yet sometimes be-coming a real movement, the touching of the tablecloth with anindex ﬁnger, the brushing of a ﬁngernail against a fold . . .;hebrightened, then lapsed into silence, retreated into himself,stretched out his hand, reached for the bread and slowly rolled alittle pellet, watched it, fell silent, hummed ti-ri-ri.
hebrightened, then lapsed into silence, retreated into himself,stretched out his hand, reached for the bread and slowly rolled alittle pellet, watched it, fell silent, hummed ti-ri-ri.;He sliced a piece of bread, cut oﬀthe edge to make it square,buttered it, spread the butter evenly, patted it with his knife, saltedit, and pushed it into his mouth—he ate it.;And he seemed tomake sure he ate it.;I looked at the arrow that had spread, spilledonto the ceiling, what kind of an arrow was that, how could wehave perceived it as an arrow?!;I also looked at the table, at thetablecloth, one must admit there is a limit to what can be seen—so then, on the tablecloth, Lena’s hand resting, relaxed, small,coﬀee-colored, warmly-cool, growing by way of the wrist from themore distant whiteness of her shoulder (which I merely guessed atbecause;I didn’t venture that far with my gaze), and so, the handwas quiet and idle, but looking more closely one noticed a trem-bling, it was, for example, the trembling of the skin at the base ofthe ring ﬁnger, or the touching of two ﬁngers, the middle and thering ﬁnger—more like embryos of movement, yet sometimes be-coming a real movement, the touching of the tablecloth with anindex ﬁnger, the brushing of a ﬁngernail against a fold . . .;it wasso far removed from Lena herself that I experienced it as a hugecountry full of internal movements, uncontrolled, subject nodoubt to the laws of statistics . . .;He sliced a piece of bread, cut oﬀthe edge to make it square,buttered it, spread the butter evenly, patted it with his knife, saltedit, and pushed it into his mouth—he ate it.
He sliced a piece of bread, cut oﬀthe edge to make it square,buttered it, spread the butter evenly, patted it with his knife, saltedit, and pushed it into his mouth—he ate it.;And he seemed tomake sure he ate it.;I looked at the arrow that had spread, spilledonto the ceiling, what kind of an arrow was that, how could wehave perceived it as an arrow?!;I also looked at the table, at thetablecloth, one must admit there is a limit to what can be seen—so then, on the tablecloth, Lena’s hand resting, relaxed, small,coﬀee-colored, warmly-cool, growing by way of the wrist from themore distant whiteness of her shoulder (which I merely guessed atbecause;I didn’t venture that far with my gaze), and so, the handwas quiet and idle, but looking more closely one noticed a trem-bling, it was, for example, the trembling of the skin at the base ofthe ring ﬁnger, or the touching of two ﬁngers, the middle and thering ﬁnger—more like embryos of movement, yet sometimes be-coming a real movement, the touching of the tablecloth with anindex ﬁnger, the brushing of a ﬁngernail against a fold . . .;it wasso far removed from Lena herself that I experienced it as a hugecountry full of internal movements, uncontrolled, subject nodoubt to the laws of statistics . . .;and among these movementsthere was one, a slow coiling of her palm, a lazy contracting of herﬁngers into her palm, a shy, snuggling movement . . .;And he seemed tomake sure he ate it.
And he seemed tomake sure he ate it.;I looked at the arrow that had spread, spilledonto the ceiling, what kind of an arrow was that, how could wehave perceived it as an arrow?!;I also looked at the table, at thetablecloth, one must admit there is a limit to what can be seen—so then, on the tablecloth, Lena’s hand resting, relaxed, small,coﬀee-colored, warmly-cool, growing by way of the wrist from themore distant whiteness of her shoulder (which I merely guessed atbecause;I didn’t venture that far with my gaze), and so, the handwas quiet and idle, but looking more closely one noticed a trem-bling, it was, for example, the trembling of the skin at the base ofthe ring ﬁnger, or the touching of two ﬁngers, the middle and thering ﬁnger—more like embryos of movement, yet sometimes be-coming a real movement, the touching of the tablecloth with anindex ﬁnger, the brushing of a ﬁngernail against a fold . . .;it wasso far removed from Lena herself that I experienced it as a hugecountry full of internal movements, uncontrolled, subject nodoubt to the laws of statistics . . .;and among these movementsthere was one, a slow coiling of her palm, a lazy contracting of herﬁngers into her palm, a shy, snuggling movement . . .;it had caughtmy eye earlier . . .;I looked at the arrow that had spread, spilledonto the ceiling, what kind of an arrow was that, how could wehave perceived it as an arrow?!
I looked at the arrow that had spread, spilledonto the ceiling, what kind of an arrow was that, how could wehave perceived it as an arrow?!;I also looked at the table, at thetablecloth, one must admit there is a limit to what can be seen—so then, on the tablecloth, Lena’s hand resting, relaxed, small,coﬀee-colored, warmly-cool, growing by way of the wrist from themore distant whiteness of her shoulder (which I merely guessed atbecause;I didn’t venture that far with my gaze), and so, the handwas quiet and idle, but looking more closely one noticed a trem-bling, it was, for example, the trembling of the skin at the base ofthe ring ﬁnger, or the touching of two ﬁngers, the middle and thering ﬁnger—more like embryos of movement, yet sometimes be-coming a real movement, the touching of the tablecloth with anindex ﬁnger, the brushing of a ﬁngernail against a fold . . .;it wasso far removed from Lena herself that I experienced it as a hugecountry full of internal movements, uncontrolled, subject nodoubt to the laws of statistics . . .;and among these movementsthere was one, a slow coiling of her palm, a lazy contracting of herﬁngers into her palm, a shy, snuggling movement . . .;it had caughtmy eye earlier . . .;and yet, was it so entirely unrelated to me?;I also looked at the table, at thetablecloth, one must admit there is a limit to what can be seen—so then, on the tablecloth, Lena’s hand resting, relaxed, small,coﬀee-colored, warmly-cool, growing by way of the wrist from themore distant whiteness of her shoulder (which I merely guessed atbecause
I also looked at the table, at thetablecloth, one must admit there is a limit to what can be seen—so then, on the tablecloth, Lena’s hand resting, relaxed, small,coﬀee-colored, warmly-cool, growing by way of the wrist from themore distant whiteness of her shoulder (which I merely guessed atbecause;I didn’t venture that far with my gaze), and so, the handwas quiet and idle, but looking more closely one noticed a trem-bling, it was, for example, the trembling of the skin at the base ofthe ring ﬁnger, or the touching of two ﬁngers, the middle and thering ﬁnger—more like embryos of movement, yet sometimes be-coming a real movement, the touching of the tablecloth with anindex ﬁnger, the brushing of a ﬁngernail against a fold . . .;it wasso far removed from Lena herself that I experienced it as a hugecountry full of internal movements, uncontrolled, subject nodoubt to the laws of statistics . . .;and among these movementsthere was one, a slow coiling of her palm, a lazy contracting of herﬁngers into her palm, a shy, snuggling movement . . .;it had caughtmy eye earlier . . .;and yet, was it so entirely unrelated to me?;Whocould know, but isn’t it curious, that it generally happened at thevery moment she lowered her eyes (I hardly saw those), this time;I didn’t venture that far with my gaze), and so, the handwas quiet and idle, but looking more closely one noticed a trem-bling, it was, for example, the trembling of the skin at the base ofthe ring ﬁnger, or the touching of two ﬁngers, the middle and thering ﬁnger—more like embryos of movement, yet sometimes be-coming a real movement, the touching of the tablecloth with anindex ﬁnger, the brushing of a ﬁngernail against a fold . . .
I didn’t venture that far with my gaze), and so, the handwas quiet and idle, but looking more closely one noticed a trem-bling, it was, for example, the trembling of the skin at the base ofthe ring ﬁnger, or the touching of two ﬁngers, the middle and thering ﬁnger—more like embryos of movement, yet sometimes be-coming a real movement, the touching of the tablecloth with anindex ﬁnger, the brushing of a ﬁngernail against a fold . . .;it wasso far removed from Lena herself that I experienced it as a hugecountry full of internal movements, uncontrolled, subject nodoubt to the laws of statistics . . .;and among these movementsthere was one, a slow coiling of her palm, a lazy contracting of herﬁngers into her palm, a shy, snuggling movement . . .;it had caughtmy eye earlier . . .;and yet, was it so entirely unrelated to me?;Whocould know, but isn’t it curious, that it generally happened at thevery moment she lowered her eyes (I hardly saw those), this time;Witold Gombrowiczshe did not raise them even once.;it wasso far removed from Lena herself that I experienced it as a hugecountry full of internal movements, uncontrolled, subject nodoubt to the laws of statistics . . .
it wasso far removed from Lena herself that I experienced it as a hugecountry full of internal movements, uncontrolled, subject nodoubt to the laws of statistics . . .;and among these movementsthere was one, a slow coiling of her palm, a lazy contracting of herﬁngers into her palm, a shy, snuggling movement . . .;it had caughtmy eye earlier . . .;and yet, was it so entirely unrelated to me?;Whocould know, but isn’t it curious, that it generally happened at thevery moment she lowered her eyes (I hardly saw those), this time;Witold Gombrowiczshe did not raise them even once.;Her husband’s hand, that dis-gusting, eroto-noneroto-erotic-nonerotic abomination, that odd-ity burdened by obligatory eroticism “because of her,” in connec-tion with her little hand, yet his hand, after all, was decent,presentable . . .;and among these movementsthere was one, a slow coiling of her palm, a lazy contracting of herﬁngers into her palm, a shy, snuggling movement . . .
and among these movementsthere was one, a slow coiling of her palm, a lazy contracting of herﬁngers into her palm, a shy, snuggling movement . . .;it had caughtmy eye earlier . . .;and yet, was it so entirely unrelated to me?;Whocould know, but isn’t it curious, that it generally happened at thevery moment she lowered her eyes (I hardly saw those), this time;Witold Gombrowiczshe did not raise them even once.;Her husband’s hand, that dis-gusting, eroto-noneroto-erotic-nonerotic abomination, that odd-ity burdened by obligatory eroticism “because of her,” in connec-tion with her little hand, yet his hand, after all, was decent,presentable . . .;it was also here, on the tablecloth, nearby . . .;it had caughtmy eye earlier . . .
it had caughtmy eye earlier . . .;and yet, was it so entirely unrelated to me?;Whocould know, but isn’t it curious, that it generally happened at thevery moment she lowered her eyes (I hardly saw those), this time;Witold Gombrowiczshe did not raise them even once.;Her husband’s hand, that dis-gusting, eroto-noneroto-erotic-nonerotic abomination, that odd-ity burdened by obligatory eroticism “because of her,” in connec-tion with her little hand, yet his hand, after all, was decent,presentable . . .;it was also here, on the tablecloth, nearby . . .;And,of course, the coilings of her hand might berelating to his hand, but they also might havehad an ever so faintly-slight connectionwith my watching from beneath downcast eyelids, although, onemust admit, the likelihood of it was almost nil, one in a million,but the hypothesis, in all its frailty, was explosive, an ignitingspark, like the breath that generates a tornado! . . .;and yet, was it so entirely unrelated to me?
and yet, was it so entirely unrelated to me?;Whocould know, but isn’t it curious, that it generally happened at thevery moment she lowered her eyes (I hardly saw those), this time;Witold Gombrowiczshe did not raise them even once.;Her husband’s hand, that dis-gusting, eroto-noneroto-erotic-nonerotic abomination, that odd-ity burdened by obligatory eroticism “because of her,” in connec-tion with her little hand, yet his hand, after all, was decent,presentable . . .;it was also here, on the tablecloth, nearby . . .;And,of course, the coilings of her hand might berelating to his hand, but they also might havehad an ever so faintly-slight connectionwith my watching from beneath downcast eyelids, although, onemust admit, the likelihood of it was almost nil, one in a million,but the hypothesis, in all its frailty, was explosive, an ignitingspark, like the breath that generates a tornado! . . .;Because, whoknows, she might actually hate this man whom I didn’t want toobserve closely because I was afraid, on whose periphery I wasstraying constantly and who was also unknowable, just as much asshe was, after all . . .;Whocould know, but isn’t it curious, that it generally happened at thevery moment she lowered her eyes (I hardly saw those), this time
Whocould know, but isn’t it curious, that it generally happened at thevery moment she lowered her eyes (I hardly saw those), this time;Witold Gombrowiczshe did not raise them even once.;Her husband’s hand, that dis-gusting, eroto-noneroto-erotic-nonerotic abomination, that odd-ity burdened by obligatory eroticism “because of her,” in connec-tion with her little hand, yet his hand, after all, was decent,presentable . . .;it was also here, on the tablecloth, nearby . . .;And,of course, the coilings of her hand might berelating to his hand, but they also might havehad an ever so faintly-slight connectionwith my watching from beneath downcast eyelids, although, onemust admit, the likelihood of it was almost nil, one in a million,but the hypothesis, in all its frailty, was explosive, an ignitingspark, like the breath that generates a tornado! . . .;Because, whoknows, she might actually hate this man whom I didn’t want toobserve closely because I was afraid, on whose periphery I wasstraying constantly and who was also unknowable, just as much asshe was, after all . . .;because, if it turned out, for instance, that she,by her husband’s side, gives herself over to coilings under my gaze,so what, she might be like that, her little sin could be hitched toher innocence and meekness, which (the innocence and the meek-ness) would in this case become a higher-grade perversion.;Witold Gombrowiczshe did not raise them even once.
Witold Gombrowiczshe did not raise them even once.;Her husband’s hand, that dis-gusting, eroto-noneroto-erotic-nonerotic abomination, that odd-ity burdened by obligatory eroticism “because of her,” in connec-tion with her little hand, yet his hand, after all, was decent,presentable . . .;it was also here, on the tablecloth, nearby . . .;And,of course, the coilings of her hand might berelating to his hand, but they also might havehad an ever so faintly-slight connectionwith my watching from beneath downcast eyelids, although, onemust admit, the likelihood of it was almost nil, one in a million,but the hypothesis, in all its frailty, was explosive, an ignitingspark, like the breath that generates a tornado! . . .;Because, whoknows, she might actually hate this man whom I didn’t want toobserve closely because I was afraid, on whose periphery I wasstraying constantly and who was also unknowable, just as much asshe was, after all . . .;because, if it turned out, for instance, that she,by her husband’s side, gives herself over to coilings under my gaze,so what, she might be like that, her little sin could be hitched toher innocence and meekness, which (the innocence and the meek-ness) would in this case become a higher-grade perversion.;Oh,the wild power of feeble thought!;Her husband’s hand, that dis-gusting, eroto-noneroto-erotic-nonerotic abomination, that odd-ity burdened by obligatory eroticism “because of her,” in connec-tion with her little hand, yet his hand, after all, was decent,presentable . . .
Her husband’s hand, that dis-gusting, eroto-noneroto-erotic-nonerotic abomination, that odd-ity burdened by obligatory eroticism “because of her,” in connec-tion with her little hand, yet his hand, after all, was decent,presentable . . .;it was also here, on the tablecloth, nearby . . .;And,of course, the coilings of her hand might berelating to his hand, but they also might havehad an ever so faintly-slight connectionwith my watching from beneath downcast eyelids, although, onemust admit, the likelihood of it was almost nil, one in a million,but the hypothesis, in all its frailty, was explosive, an ignitingspark, like the breath that generates a tornado! . . .;Because, whoknows, she might actually hate this man whom I didn’t want toobserve closely because I was afraid, on whose periphery I wasstraying constantly and who was also unknowable, just as much asshe was, after all . . .;because, if it turned out, for instance, that she,by her husband’s side, gives herself over to coilings under my gaze,so what, she might be like that, her little sin could be hitched toher innocence and meekness, which (the innocence and the meek-ness) would in this case become a higher-grade perversion.;Oh,the wild power of feeble thought!;Oh, the exploding breath!;it was also here, on the tablecloth, nearby . . .
it was also here, on the tablecloth, nearby . . .;And,of course, the coilings of her hand might berelating to his hand, but they also might havehad an ever so faintly-slight connectionwith my watching from beneath downcast eyelids, although, onemust admit, the likelihood of it was almost nil, one in a million,but the hypothesis, in all its frailty, was explosive, an ignitingspark, like the breath that generates a tornado! . . .;Because, whoknows, she might actually hate this man whom I didn’t want toobserve closely because I was afraid, on whose periphery I wasstraying constantly and who was also unknowable, just as much asshe was, after all . . .;because, if it turned out, for instance, that she,by her husband’s side, gives herself over to coilings under my gaze,so what, she might be like that, her little sin could be hitched toher innocence and meekness, which (the innocence and the meek-ness) would in this case become a higher-grade perversion.;Oh,the wild power of feeble thought!;Oh, the exploding breath!;Sup-per went on in full swing, Ludwik remembered something, tookout his notebook, Fuks prattled on, saying to Leon “she was a realshrew,” or “so many years at the bank, good Lord!”;And,of course, the coilings of her hand might berelating to his hand, but they also might havehad an ever so faintly-slight connectionwith my watching from beneath downcast eyelids, although, onemust admit, the likelihood of it was almost nil, one in a million,but the hypothesis, in all its frailty, was explosive, an ignitingspark, like the breath that generates a tornado! . . .
And,of course, the coilings of her hand might berelating to his hand, but they also might havehad an ever so faintly-slight connectionwith my watching from beneath downcast eyelids, although, onemust admit, the likelihood of it was almost nil, one in a million,but the hypothesis, in all its frailty, was explosive, an ignitingspark, like the breath that generates a tornado! . . .;Because, whoknows, she might actually hate this man whom I didn’t want toobserve closely because I was afraid, on whose periphery I wasstraying constantly and who was also unknowable, just as much asshe was, after all . . .;because, if it turned out, for instance, that she,by her husband’s side, gives herself over to coilings under my gaze,so what, she might be like that, her little sin could be hitched toher innocence and meekness, which (the innocence and the meek-ness) would in this case become a higher-grade perversion.;Oh,the wild power of feeble thought!;Oh, the exploding breath!;Sup-per went on in full swing, Ludwik remembered something, tookout his notebook, Fuks prattled on, saying to Leon “she was a realshrew,” or “so many years at the bank, good Lord!”;and Leon, hisbrows knit, his face like a bespectacled bald-head, recounted indetail, what and how, and why “well, fancy that” . . .;Because, whoknows, she might actually hate this man whom I didn’t want toobserve closely because I was afraid, on whose periphery I wasstraying constantly and who was also unknowable, just as much asshe was, after all . . .
Because, whoknows, she might actually hate this man whom I didn’t want toobserve closely because I was afraid, on whose periphery I wasstraying constantly and who was also unknowable, just as much asshe was, after all . . .;because, if it turned out, for instance, that she,by her husband’s side, gives herself over to coilings under my gaze,so what, she might be like that, her little sin could be hitched toher innocence and meekness, which (the innocence and the meek-ness) would in this case become a higher-grade perversion.;Oh,the wild power of feeble thought!;Oh, the exploding breath!;Sup-per went on in full swing, Ludwik remembered something, tookout his notebook, Fuks prattled on, saying to Leon “she was a realshrew,” or “so many years at the bank, good Lord!”;and Leon, hisbrows knit, his face like a bespectacled bald-head, recounted indetail, what and how, and why “well, fancy that” . . .;“no, becauseshe didn’t use the tissue-paper” . . .;because, if it turned out, for instance, that she,by her husband’s side, gives herself over to coilings under my gaze,so what, she might be like that, her little sin could be hitched toher innocence and meekness, which (the innocence and the meek-ness) would in this case become a higher-grade perversion.
because, if it turned out, for instance, that she,by her husband’s side, gives herself over to coilings under my gaze,so what, she might be like that, her little sin could be hitched toher innocence and meekness, which (the innocence and the meek-ness) would in this case become a higher-grade perversion.;Oh,the wild power of feeble thought!;Oh, the exploding breath!;Sup-per went on in full swing, Ludwik remembered something, tookout his notebook, Fuks prattled on, saying to Leon “she was a realshrew,” or “so many years at the bank, good Lord!”;and Leon, hisbrows knit, his face like a bespectacled bald-head, recounted indetail, what and how, and why “well, fancy that” . . .;“no, becauseshe didn’t use the tissue-paper” . . .;“there was a table-top” . . .;Oh,the wild power of feeble thought!
Oh,the wild power of feeble thought!;Oh, the exploding breath!;Sup-per went on in full swing, Ludwik remembered something, tookout his notebook, Fuks prattled on, saying to Leon “she was a realshrew,” or “so many years at the bank, good Lord!”;and Leon, hisbrows knit, his face like a bespectacled bald-head, recounted indetail, what and how, and why “well, fancy that” . . .;“no, becauseshe didn’t use the tissue-paper” . . .;“there was a table-top” . . .;andFuks listened to avoid thinking about Drozdowski.;Oh, the exploding breath!
Oh, the exploding breath!;Sup-per went on in full swing, Ludwik remembered something, tookout his notebook, Fuks prattled on, saying to Leon “she was a realshrew,” or “so many years at the bank, good Lord!”;and Leon, hisbrows knit, his face like a bespectacled bald-head, recounted indetail, what and how, and why “well, fancy that” . . .;“no, becauseshe didn’t use the tissue-paper” . . .;“there was a table-top” . . .;andFuks listened to avoid thinking about Drozdowski.;I thought “andwhat if the coiling is for my sake,” and I knew it was a uselessthought, but, what’s this, a twist, a jolt, a cataclysm, and with asudden rush of her corpulence Roly-Poly dives under the table,Cosmos she’s under the table, for a moment both the table and Roly-Polygo into a frenzy . . .;Sup-per went on in full swing, Ludwik remembered something, tookout his notebook, Fuks prattled on, saying to Leon “she was a realshrew,” or “so many years at the bank, good Lord!”
Sup-per went on in full swing, Ludwik remembered something, tookout his notebook, Fuks prattled on, saying to Leon “she was a realshrew,” or “so many years at the bank, good Lord!”;and Leon, hisbrows knit, his face like a bespectacled bald-head, recounted indetail, what and how, and why “well, fancy that” . . .;“no, becauseshe didn’t use the tissue-paper” . . .;“there was a table-top” . . .;andFuks listened to avoid thinking about Drozdowski.;I thought “andwhat if the coiling is for my sake,” and I knew it was a uselessthought, but, what’s this, a twist, a jolt, a cataclysm, and with asudden rush of her corpulence Roly-Poly dives under the table,Cosmos she’s under the table, for a moment both the table and Roly-Polygo into a frenzy . . .;what is it?;and Leon, hisbrows knit, his face like a bespectacled bald-head, recounted indetail, what and how, and why “well, fancy that” . . .
and Leon, hisbrows knit, his face like a bespectacled bald-head, recounted indetail, what and how, and why “well, fancy that” . . .;“no, becauseshe didn’t use the tissue-paper” . . .;“there was a table-top” . . .;andFuks listened to avoid thinking about Drozdowski.;I thought “andwhat if the coiling is for my sake,” and I knew it was a uselessthought, but, what’s this, a twist, a jolt, a cataclysm, and with asudden rush of her corpulence Roly-Poly dives under the table,Cosmos she’s under the table, for a moment both the table and Roly-Polygo into a frenzy . . .;what is it?;It was the cat.;“no, becauseshe didn’t use the tissue-paper” . . .
“no, becauseshe didn’t use the tissue-paper” . . .;“there was a table-top” . . .;andFuks listened to avoid thinking about Drozdowski.;I thought “andwhat if the coiling is for my sake,” and I knew it was a uselessthought, but, what’s this, a twist, a jolt, a cataclysm, and with asudden rush of her corpulence Roly-Poly dives under the table,Cosmos she’s under the table, for a moment both the table and Roly-Polygo into a frenzy . . .;what is it?;It was the cat.;She pulled it out fromunder the table, a mouse in its jaws.;“there was a table-top” . . .
“there was a table-top” . . .;andFuks listened to avoid thinking about Drozdowski.;I thought “andwhat if the coiling is for my sake,” and I knew it was a uselessthought, but, what’s this, a twist, a jolt, a cataclysm, and with asudden rush of her corpulence Roly-Poly dives under the table,Cosmos she’s under the table, for a moment both the table and Roly-Polygo into a frenzy . . .;what is it?;It was the cat.;She pulled it out fromunder the table, a mouse in its jaws.;After so much bubbling, spurting, and sputtering of words thathad foamed in the violent cauldron of a cataract, the waters of ourstay at the table, that river, humming,ﬂowing, returned again toits channel, the cat was thrown out, again the table, the tablecloth,the lamp, glasses, Roly-Poly smoothes out some roughness in thetablecloth, Leon announces a forthcoming joke with his raisedﬁnger, Fuks stirs, the door opens, it’s Katasia, Roly-Poly says toLena “pass me the salad bowl,” emptiness, eternity, nothingness,peace, I’m back to she loves him she hates him she’s disenchantedenchanted happy unhappy, yet she might be all those things atonce, but most likely she wasn’t any of it for the simple reason thather little hand was too small, it was not a hand but a little hand, sowhat could she be with that little hand of hers, she couldn’t benothing, she was . . .;andFuks listened to avoid thinking about Drozdowski.
andFuks listened to avoid thinking about Drozdowski.;I thought “andwhat if the coiling is for my sake,” and I knew it was a uselessthought, but, what’s this, a twist, a jolt, a cataclysm, and with asudden rush of her corpulence Roly-Poly dives under the table,Cosmos she’s under the table, for a moment both the table and Roly-Polygo into a frenzy . . .;what is it?;It was the cat.;She pulled it out fromunder the table, a mouse in its jaws.;After so much bubbling, spurting, and sputtering of words thathad foamed in the violent cauldron of a cataract, the waters of ourstay at the table, that river, humming,ﬂowing, returned again toits channel, the cat was thrown out, again the table, the tablecloth,the lamp, glasses, Roly-Poly smoothes out some roughness in thetablecloth, Leon announces a forthcoming joke with his raisedﬁnger, Fuks stirs, the door opens, it’s Katasia, Roly-Poly says toLena “pass me the salad bowl,” emptiness, eternity, nothingness,peace, I’m back to she loves him she hates him she’s disenchantedenchanted happy unhappy, yet she might be all those things atonce, but most likely she wasn’t any of it for the simple reason thather little hand was too small, it was not a hand but a little hand, sowhat could she be with that little hand of hers, she couldn’t benothing, she was . . .;she was . . .;I thought “andwhat if the coiling is for my sake,” and I knew it was a uselessthought, but, what’s this, a twist, a jolt, a cataclysm, and with asudden rush of her corpulence Roly-Poly dives under the table,Cosmos she’s under the table, for a moment both the table and Roly-Polygo into a frenzy . . .
I thought “andwhat if the coiling is for my sake,” and I knew it was a uselessthought, but, what’s this, a twist, a jolt, a cataclysm, and with asudden rush of her corpulence Roly-Poly dives under the table,Cosmos she’s under the table, for a moment both the table and Roly-Polygo into a frenzy . . .;what is it?;It was the cat.;She pulled it out fromunder the table, a mouse in its jaws.;After so much bubbling, spurting, and sputtering of words thathad foamed in the violent cauldron of a cataract, the waters of ourstay at the table, that river, humming,ﬂowing, returned again toits channel, the cat was thrown out, again the table, the tablecloth,the lamp, glasses, Roly-Poly smoothes out some roughness in thetablecloth, Leon announces a forthcoming joke with his raisedﬁnger, Fuks stirs, the door opens, it’s Katasia, Roly-Poly says toLena “pass me the salad bowl,” emptiness, eternity, nothingness,peace, I’m back to she loves him she hates him she’s disenchantedenchanted happy unhappy, yet she might be all those things atonce, but most likely she wasn’t any of it for the simple reason thather little hand was too small, it was not a hand but a little hand, sowhat could she be with that little hand of hers, she couldn’t benothing, she was . . .;she was . . .;powerful in her e ﬀect, yet within herself she was nothing . . .;what is it?
what is it?;It was the cat.;She pulled it out fromunder the table, a mouse in its jaws.;After so much bubbling, spurting, and sputtering of words thathad foamed in the violent cauldron of a cataract, the waters of ourstay at the table, that river, humming,ﬂowing, returned again toits channel, the cat was thrown out, again the table, the tablecloth,the lamp, glasses, Roly-Poly smoothes out some roughness in thetablecloth, Leon announces a forthcoming joke with his raisedﬁnger, Fuks stirs, the door opens, it’s Katasia, Roly-Poly says toLena “pass me the salad bowl,” emptiness, eternity, nothingness,peace, I’m back to she loves him she hates him she’s disenchantedenchanted happy unhappy, yet she might be all those things atonce, but most likely she wasn’t any of it for the simple reason thather little hand was too small, it was not a hand but a little hand, sowhat could she be with that little hand of hers, she couldn’t benothing, she was . . .;she was . . .;powerful in her e ﬀect, yet within herself she was nothing . . .;confusion . . .;It was the cat.
It was the cat.;She pulled it out fromunder the table, a mouse in its jaws.;After so much bubbling, spurting, and sputtering of words thathad foamed in the violent cauldron of a cataract, the waters of ourstay at the table, that river, humming,ﬂowing, returned again toits channel, the cat was thrown out, again the table, the tablecloth,the lamp, glasses, Roly-Poly smoothes out some roughness in thetablecloth, Leon announces a forthcoming joke with his raisedﬁnger, Fuks stirs, the door opens, it’s Katasia, Roly-Poly says toLena “pass me the salad bowl,” emptiness, eternity, nothingness,peace, I’m back to she loves him she hates him she’s disenchantedenchanted happy unhappy, yet she might be all those things atonce, but most likely she wasn’t any of it for the simple reason thather little hand was too small, it was not a hand but a little hand, sowhat could she be with that little hand of hers, she couldn’t benothing, she was . . .;she was . . .;powerful in her e ﬀect, yet within herself she was nothing . . .;confusion . . .;confusion . . .;She pulled it out fromunder the table, a mouse in its jaws.
